"","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N"
"I68","Bear 2","Animal","Flickr/Tim Williams",4.41666666666667,1.31933854851872,108,3.77884615384615,1.72337854436265,104
"I69","Bear 3","Animal","Pixabay",5.46534653465347,0.965032190506033,101,4.32038834951456,1.44990596201494,103
"I70","Bed 1","Object","Flickr/Hannah",4.01980198019802,0.916299056201653,101,2.99029126213592,1.72919082079649,103
"I71","Bee 1","Animal","Wikipedia",3.64814814814815,1.4808106823333,108,3.61538461538462,1.7253545706098,104
"I72","Biking 1","Person","Pixabay",5.08823529411765,1.02544789708355,102,3.57425742574257,1.53848324432517,101
"I73","Billiards 1","Object","Pixabay",4.51960784313725,0.817268962803335,102,2.57425742574257,1.51885835187792,101
"I74","Bird 1","Animal","Pixabay",5.90740740740741,1.00964541788252,108,3.00961538461538,1.73762024691227,104
"I75","Bird 2","Animal","Pixabay",5.47524752475248,1.1008547534161,101,3.69902912621359,1.54561334647136,103
"I76","Bird 3","Animal","Pixabay",6.03703703703704,0.956296652893371,108,3.43269230769231,1.71098349663739,104
"I77","Bird 4","Animal","Pixabay",5.54901960784314,1.06824044258588,102,3.57425742574257,1.73405037212571,101
"I78","Bird 5","Animal","Pixabay",4.47058823529412,1.37665027773467,102,4.44554455445545,1.54580236462979,101
"I79","Birthday 1","Scene","Pixabay",5.7843137254902,0.950533471688317,102,3.45544554455446,1.63416493950426,101
"I80","Birthday 2","Person","Pixabay",5.32673267326733,1.17566075796625,101,3.37864077669903,1.59113047033079,103
"I81","Birthday 3","Scene","Pixabay",5.56862745098039,1.04842931953035,102,3.42574257425743,1.51885835187792,101
"I82","Bloody knife 1","Object","Flickr/Maarten Van Damme",1.84313725490196,1.06003080507466,102,4.54455445544554,1.93661949011801,101
"I83","Bloody knife 2","Object","Flickr/Steven Depolo",2.25742574257426,1.10139425590053,101,3.90291262135922,1.99270514286679,103
"I84","Boat 1","Object","Pixabay",4.57407407407407,1.12908617175431,108,2.79807692307692,1.71447185500323,104
"I85","Bored face 1","Person","Flickr",3.64814814814815,0.777184167481206,108,2.375,1.47593972039932,104
"I86","Bored pose 1","Person","Pixabay",3.55882352941176,1.06774055338452,102,2.92079207920792,1.44694967650455,101
"I87","Bored pose 2","Person","Pixabay",3.18627450980392,0.972191483368331,102,2.74257425742574,1.54047697383982,101
"I88","Bored pose 3","Person","Wikipedia",3.08823529411765,0.857153257279446,102,2.71287128712871,1.47876051924148,101
"I89","Bored pose 4","Person","Wikipedia",3.12745098039216,1.02127437986049,102,3.01980198019802,1.4420832016205,101
"I90","Bored pose 5","Person","All-free-download.com",3.8019801980198,0.927575355215931,101,3.03883495145631,1.48800649704126,103
"I91","Bored pose 6","Person","Pixabay",4.55882352941176,1.20702177797677,102,3.38613861386139,1.58095096084416,101
"I92","Bottle 1","Object","Pixabay",4.17647058823529,0.801134896811242,102,2.15841584158416,1.34709074131869,101
"I93","Boxing 1","Person","Pixabay",3.73529411764706,1.27369790306881,102,3.89108910891089,1.66673927234592,101
"I94","Boxing 2","Person","Pixabay",3.69607843137255,1.05106467178888,102,4.1980198019802,1.51009802317729,101
"I95","Bricks 1","Object","Pixabay",4.15686274509804,0.714005547295417,102,1.81188118811881,1.22239822715127,101
"I96","Bridge 1","Scene","Pixabay",5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103
"I97","Bubble 1","Object","Pixabay",4.79207920792079,1.08919081600212,101,3.07766990291262,1.68435313928249,103
"I98","Bubble 2","Object","Pixabay",5,1.03923048454133,101,3.03883495145631,1.74289780165152,103
"I99","Building 1","Scene","Pixabay",5.03703703703704,1.48466255913702,108,3.20192307692308,1.74811858750119,104
"I100","Building 2","Scene","Pixabay",4.7962962962963,1.13367535001802,108,3.17307692307692,1.82986183197598,104
