Timestamp,TP9,AF7,AF8,TP10,Right AUX
1718464696,51.7578125,-33.203125,-26.3671875,51.7578125,0
1718464696,-18.5546875,-37.59765625,-30.76171875,-39.55078125,0
1718464696,-41.015625,-36.62109375,-31.25,-75.1953125,0
1718464696,23.92578125,-35.15625,-29.78515625,0,0
1718464696,50.29296875,-36.1328125,-30.2734375,48.33984375,0
1718464696,-7.32421875,-40.0390625,-39.0625,-1.46484375,0
1718464696,-52.734375,-45.41015625,-36.62109375,-66.89453125,0
1718464696,-20.01953125,-37.109375,-31.25,-40.52734375,0
1718464696,37.59765625,-35.15625,-26.85546875,51.7578125,0
1718464696,11.71875,-52.734375,-24.90234375,37.59765625,0
1718464696,-62.98828125,-58.10546875,-33.69140625,-63.96484375,0
1718464696,-35.64453125,-46.38671875,-29.296875,-37.59765625,0
1718464696,42.48046875,-48.33984375,-31.25,71.2890625,0
1718464696,12.20703125,-54.19921875,-36.1328125,49.31640625,0
1718464696,-66.89453125,-60.546875,-35.64453125,-54.19921875,0
1718464696,-70.3125,-56.640625,-39.55078125,-63.4765625,0
1718464696,-0.48828125,-49.8046875,-31.73828125,26.85546875,0
1718464696,31.25,-52.734375,-26.85546875,74.70703125,0
1718464696,-31.73828125,-51.26953125,-32.2265625,-5.37109375,0
1718464696,-62.98828125,-46.875,-36.1328125,-63.96484375,0
1718464696,10.25390625,-43.9453125,-37.109375,24.90234375,0
1718464696,62.5,-50.29296875,-29.78515625,109.8632813,0
1718464696,-12.6953125,-43.9453125,-25.390625,14.16015625,0
1718464696,-64.94140625,-41.50390625,-34.66796875,-75.1953125,0
1718464696,-5.37109375,-45.8984375,-31.25,-23.4375,0
1718464696,43.9453125,-48.33984375,-24.4140625,51.26953125,0
1718464696,6.34765625,-40.52734375,-26.85546875,17.578125,0
1718464696,-46.875,-35.15625,-28.80859375,-81.54296875,0
1718464696,-15.625,-42.96875,-41.50390625,-60.546875,0
1718464696,43.9453125,-47.8515625,-49.31640625,26.3671875,0
1718464696,30.76171875,-43.45703125,-40.52734375,29.78515625,0
1718464696,-34.1796875,-34.66796875,-31.73828125,-52.24609375,0
1718464696,-35.64453125,-42.48046875,-35.15625,-56.15234375,0
1718464696,24.4140625,-47.8515625,-32.2265625,23.4375,0
1718464696,34.1796875,-30.76171875,-22.4609375,33.203125,0
1718464696,-11.23046875,-36.62109375,-31.25,-23.4375,0
1718464696,-33.69140625,-43.9453125,-37.109375,-64.453125,0
1718464696,10.25390625,-36.1328125,-32.2265625,-13.18359375,0
1718464696,54.19921875,-28.80859375,-26.85546875,58.10546875,0
1718464696,18.06640625,-30.76171875,-27.34375,22.4609375,0
1718464696,-43.45703125,-45.41015625,-40.0390625,-56.640625,0
1718464696,-29.296875,-53.7109375,-42.48046875,-32.71484375,0
1718464696,20.01953125,-49.31640625,-19.04296875,41.50390625,0
1718464696,-5.37109375,-44.43359375,-11.71875,25.87890625,0
1718464696,-51.7578125,-61.03515625,-24.90234375,-33.203125,0
1718464696,-53.7109375,-63.4765625,-17.578125,-53.22265625,0
1718464696,11.23046875,-44.921875,-8.7890625,22.4609375,0
1718464696,23.4375,-45.8984375,-15.625,47.36328125,0
1718464696,-34.1796875,-48.828125,-23.92578125,-29.296875,0
1718464696,-45.41015625,-46.38671875,-24.90234375,-57.6171875,0
1718464696,19.53125,-42.48046875,-22.4609375,7.32421875,0
1718464696,49.31640625,-42.48046875,-24.90234375,56.15234375,0
1718464696,-10.25390625,-35.64453125,-25.87890625,-12.20703125,0
1718464696,-40.0390625,-32.71484375,-22.94921875,-80.078125,0
1718464696,9.27734375,-36.1328125,-21.97265625,-33.69140625,0
1718464696,57.6171875,-39.0625,-20.99609375,50.29296875,0
1718464696,12.20703125,-48.33984375,-27.34375,17.578125,0
1718464696,-59.5703125,-41.9921875,-33.69140625,-84.9609375,0
1718464696,-21.484375,-38.0859375,-34.1796875,-52.24609375,0
1718464696,47.36328125,-40.0390625,-24.4140625,46.38671875,0
1718464696,16.6015625,-39.0625,-20.5078125,36.62109375,0
