layout,anchor_id,x_nm,y_nm,linker_construct
evo_g2_evo_g1_clinical_grid_18_0_0,A19,-24.739,-2.692,polyT30
evo_g1_clinical_grid_18_3,A01,-16.684,-10.287,polyT30
evo_g1_clinical_grid_18_3,A02,-9.105,-2.218,polyT30
evo_g1_clinical_grid_18_3,A03,-5.949,-4.568,polyT30
evo_g1_clinical_grid_18_3,A04,5.262,-8.606,polyT30
evo_g1_clinical_grid_18_3,A05,7.841,-7.183,polyT30
evo_g1_clinical_grid_18_3,A06,14.284,-4.113,polyT30
evo_g1_clinical_grid_18_3,A07,-18.541,3.673,polyT30
evo_g1_clinical_grid_18_3,A08,-5.190,2.395,polyT30
evo_g1_clinical_grid_18_3,A09,0.126,-3.101,polyT30
evo_g1_clinical_grid_18_3,A10,-1.181,-1.217,polyT30
evo_g1_clinical_grid_18_3,A11,7.806,-1.454,polyT30
evo_g1_clinical_grid_18_3,A12,15.583,2.755,polyT30
evo_g1_clinical_grid_18_3,A13,-13.606,6.245,polyT30
evo_g1_clinical_grid_18_3,A14,-8.134,8.995,polyT30
evo_g1_clinical_grid_18_3,A15,1.785,4.318,polyT30
evo_g1_clinical_grid_18_3,A16,0.530,10.088,polyT30
evo_g1_clinical_grid_18_3,A17,13.860,-0.907,polyT30
evo_g1_clinical_grid_18_3,A18,8.062,4.464,polyT30
clinical_hybrid_24,A01,-30.000,-15.000,polyT30
clinical_hybrid_24,A02,-18.000,-15.000,polyT30
clinical_hybrid_24,A03,-6.000,-15.000,polyT30
clinical_hybrid_24,A04,6.000,-15.000,polyT30
clinical_hybrid_24,A05,18.000,-15.000,polyT30
clinical_hybrid_24,A06,30.000,-15.000,polyT30
clinical_hybrid_24,A07,-30.000,0.000,polyT30
clinical_hybrid_24,A08,-18.000,0.000,polyT30
clinical_hybrid_24,A09,-6.000,0.000,polyT30
clinical_hybrid_24,A10,6.000,0.000,polyT30
clinical_hybrid_24,A11,18.000,0.000,polyT30
clinical_hybrid_24,A12,30.000,0.000,polyT30
clinical_hybrid_24,A13,-30.000,15.000,polyT30
clinical_hybrid_24,A14,-18.000,15.000,polyT30
clinical_hybrid_24,A15,-6.000,15.000,polyT30
clinical_hybrid_24,A16,6.000,15.000,polyT30
clinical_hybrid_24,A17,18.000,15.000,polyT30
clinical_hybrid_24,A18,30.000,15.000,polyT30
clinical_hybrid_24,A19,-10.000,-5.000,polyT30
clinical_hybrid_24,A20,0.000,-5.000,polyT30
clinical_hybrid_24,A21,10.000,-5.000,polyT30
clinical_hybrid_24,A22,-10.000,5.000,polyT30
clinical_hybrid_24,A23,0.000,5.000,polyT30
clinical_hybrid_24,A24,10.000,5.000,polyT30
evo_g5_clinical_grid_18_3,A01,-18.158,-7.821,polyT30
evo_g5_clinical_grid_18_3,A02,-7.105,-9.046,polyT30
evo_g5_clinical_grid_18_3,A03,1.191,-3.348,polyT30
