layout,formulation,contact_boost,background_reduction,p10_useful_capture,burden
hybrid_24,rigid_spacer_PEG,0.6250,0.6200,0.9007,1.2450
broad_grid_20,rigid_spacer_PEG,0.6500,0.6000,0.9009,1.2500
triple_ring_24,mixed_spacer_antifouling,0.8000,0.4500,0.9005,1.2500
broad_grid_24,rigid_spacer_PEG,0.5250,0.7300,0.9014,1.2550
broad_grid_24,mixed_spacer_antifouling,0.6000,0.6600,0.9011,1.2600
broad_grid_24,rigid_spacer_PEG,0.5500,0.7100,0.9001,1.2600
broad_grid_20,rigid_spacer_PEG,0.6750,0.5900,0.9004,1.2650
broad_grid_24,mixed_spacer_antifouling,0.6250,0.6400,0.9005,1.2650
broad_grid_24,rigid_spacer_PEG,0.5750,0.6900,0.9000,1.2650
hybrid_24,rigid_spacer_PEG,0.6500,0.6200,0.9017,1.2700
triple_ring_24,mixed_spacer_antifouling,0.8250,0.4500,0.9009,1.2750
broad_grid_20,rigid_spacer_PEG,0.7000,0.5800,0.9008,1.2800
broad_grid_24,mixed_spacer_antifouling,0.6500,0.6300,0.9010,1.2800
broad_grid_24,rigid_spacer_PEG,0.6000,0.6800,0.9009,1.2800
triple_ring_24,rigid_spacer_PEG,0.3000,0.9800,0.9017,1.2800
broad_grid_24,mixed_spacer_antifouling,0.6750,0.6100,0.9003,1.2850
broad_grid_24,rigid_spacer_PEG,0.6250,0.6600,0.9006,1.2850
hybrid_24,rigid_spacer_PEG,0.6750,0.6100,0.9008,1.2850
triple_ring_24,rigid_spacer_PEG,0.3250,0.9600,0.9013,1.2850
broad_grid_24,rigid_spacer_PEG,0.6500,0.6400,0.9002,1.2900
triple_ring_24,mixed_spacer_antifouling,0.8500,0.4400,0.9000,1.2900
triple_ring_24,rigid_spacer_PEG,0.3500,0.9400,0.9008,1.2900
broad_grid_20,rigid_spacer_PEG,0.7250,0.5700,0.9011,1.2950
triple_ring_24,rigid_spacer_PEG,0.3750,0.9200,0.9001,1.2950
broad_grid_20,rigid_spacer_PEG,0.7500,0.5500,0.9001,1.3000
broad_grid_24,mixed_spacer_antifouling,0.7000,0.6000,0.9007,1.3000
broad_grid_24,rigid_spacer_PEG,0.6750,0.6300,0.9006,1.3050
hybrid_24,rigid_spacer_PEG,0.7000,0.6100,0.9017,1.3100
triple_ring_24,rigid_spacer_PEG,0.4000,0.9100,0.9011,1.3100
broad_grid_24,mixed_spacer_antifouling,0.7250,0.5900,0.9010,1.3150
triple_ring_24,mixed_spacer_antifouling,0.8750,0.4400,0.9004,1.3150
triple_ring_24,rigid_spacer_PEG,0.4250,0.8900,0.9002,1.3150
broad_grid_24,rigid_spacer_PEG,0.7000,0.6200,0.9009,1.3200
rescue_24,mixed_spacer_antifouling,0.7000,0.6200,0.9000,1.3200
triple_ring_24,rigid_spacer_PEG,0.4500,0.8700,0.9002,1.3200
broad_grid_20,rigid_spacer_PEG,0.7750,0.5500,0.9008,1.3250
hybrid_24,rigid_spacer_PEG,0.7250,0.6000,0.9007,1.3250
rescue_24,mixed_spacer_antifouling,0.6750,0.6500,0.9005,1.3250
triple_ring_24,rigid_spacer_PEG,0.4750,0.8500,0.9000,1.3250
broad_grid_24,mixed_spacer_antifouling,0.7500,0.5800,0.9002,1.3300
rescue_24,mixed_spacer_antifouling,0.6500,0.6800,0.9007,1.3300
broad_grid_24,rigid_spacer_PEG,0.7250,0.6100,0.9012,1.3350
rescue_24,mixed_spacer_antifouling,0.6250,0.7100,0.9007,1.3350
sunflower_20,mixed_spacer_antifouling,0.7750,0.5600,0.9003,1.3350
sunflower_20,mixed_spacer_antifouling,0.8250,0.5100,0.9004,1.3350
sunflower_20,mixed_spacer_antifouling,0.8750,0.4600,0.9001,1.3350
hybrid_24,mixed_spacer_antifouling,0.5000,0.8400,0.9007,1.3400
hybrid_24,mixed_spacer_antifouling,0.5500,0.7900,0.9001,1.3400
rescue_24,mixed_spacer_antifouling,0.6000,0.7400,0.9006,1.3400
sunflower_20,mixed_spacer_antifouling,0.7500,0.5900,0.9005,1.3400
sunflower_20,mixed_spacer_antifouling,0.8000,0.5400,0.9008,1.3400
