layout,mapped_layout,anchor_id,original_x_nm,original_y_nm,snapped_x_nm,snapped_y_nm,shift_nm,helix_id,base_index,site_id,linker_construct
triple_ring_24,triple_ring_24_lattice,13,-18.478,-5.511,-18.580,-5.000,0.521,8,6,191,polyT30
triple_ring_24,triple_ring_24_lattice,14,-7.654,-13.304,-7.870,-12.500,0.832,5,9,125,polyT30
triple_ring_24,triple_ring_24_lattice,15,7.654,-13.304,6.410,-12.500,1.481,5,13,129,polyT30
triple_ring_24,triple_ring_24_lattice,16,18.478,-5.511,17.120,-5.000,1.450,8,16,201,polyT30
triple_ring_24,triple_ring_24_lattice,17,29.424,4.214,27.830,5.000,1.777,12,19,296,polyT30
triple_ring_24,triple_ring_24_lattice,18,16.667,17.960,17.120,17.500,0.645,17,16,408,polyT30
triple_ring_24,triple_ring_24_lattice,19,-5.853,21.185,-4.300,20.000,1.953,18,10,425,polyT30
triple_ring_24,triple_ring_24_lattice,20,-24.944,12.000,-25.720,12.500,0.923,15,4,350,polyT30
triple_ring_24,triple_ring_24_lattice,21,-29.424,-4.214,-29.290,-5.000,0.797,8,3,188,polyT30
triple_ring_24,triple_ring_24_lattice,22,-16.667,-17.960,-15.010,-17.500,1.720,3,7,77,polyT30
triple_ring_24,triple_ring_24_lattice,23,5.853,-21.185,6.410,-20.000,1.309,2,13,60,polyT30
triple_ring_24,triple_ring_24_lattice,24,24.944,-12.000,24.260,-12.500,0.847,5,18,134,polyT30
