layout,aptamer_count,linker_construct,ev_diameter_nm,receptor_count,mean_contacts,max_contacts,p_at_least_1_contact,p_at_least_2_contacts,p_at_least_3_contacts,p_at_least_6_contacts,legacy_capture_score,clinical_sparse_score,replicates,matched_design,matched_design_score,score_delta_vs_matched_design,clinical_sparse_score_sd
random_matched_18,18,polyT30,73,2,0.089,2,0.0874,0.0014,0.0000,0.0000,0.0022,0.0383,12,clinical_grid_18,0.0390,0.0007,0.0096
random_matched_18,18,polyT30,73,5,0.215,4,0.1996,0.0148,0.0004,0.0000,0.0055,0.0915,12,clinical_grid_18,0.1265,0.0350,0.0162
random_matched_18,18,polyT30,73,10,0.423,5,0.3544,0.0597,0.0079,0.0000,0.0141,0.1753,12,clinical_grid_18,0.2216,0.0463,0.0248
random_matched_24,24,polyT10,73,2,0.011,1,0.0115,0.0000,0.0000,0.0000,0.0003,0.0050,12,clinical_hybrid_24,0.0053,0.0003,0.0023
random_matched_24,24,polyT10,73,5,0.031,2,0.0301,0.0009,0.0000,0.0000,0.0008,0.0133,12,clinical_hybrid_24,0.0146,0.0013,0.0039
random_matched_24,24,polyT10,73,10,0.061,2,0.0596,0.0014,0.0000,0.0000,0.0015,0.0263,12,clinical_hybrid_24,0.0324,0.0061,0.0067
random_matched_24,24,polyT15,73,2,0.025,2,0.0244,0.0002,0.0000,0.0000,0.0006,0.0106,12,clinical_hybrid_24,0.0156,0.0050,0.0024
random_matched_24,24,polyT15,73,5,0.067,3,0.0646,0.0027,0.0000,0.0000,0.0017,0.0289,12,clinical_hybrid_24,0.0425,0.0136,0.0062
random_matched_24,24,polyT15,73,10,0.122,4,0.1154,0.0064,0.0001,0.0000,0.0031,0.0522,12,clinical_hybrid_24,0.0882,0.0360,0.0090
random_matched_24,24,polyT20,73,2,0.048,2,0.0477,0.0007,0.0000,0.0000,0.0012,0.0209,12,clinical_hybrid_24,0.0329,0.0120,0.0045
random_matched_24,24,polyT20,73,5,0.125,3,0.1196,0.0046,0.0004,0.0000,0.0033,0.0535,12,clinical_hybrid_24,0.0905,0.0370,0.0067
random_matched_24,24,polyT20,73,10,0.256,4,0.2263,0.0276,0.0020,0.0000,0.0073,0.1077,12,clinical_hybrid_24,0.1788,0.0711,0.0120
random_matched_24,24,polyT30,73,2,0.107,2,0.1052,0.0020,0.0000,0.0000,0.0027,0.0463,12,clinical_hybrid_24,0.0700,0.0237,0.0088
random_matched_24,24,polyT30,73,5,0.289,4,0.2545,0.0335,0.0012,0.0000,0.0078,0.1217,12,clinical_hybrid_24,0.1678,0.0461,0.0085
random_matched_24,24,polyT30,73,10,0.565,6,0.4408,0.1048,0.0176,0.0000,0.0221,0.2301,12,clinical_hybrid_24,0.3220,0.0919,0.0213
random_matched_24,24,polyT10,73,2,0.013,1,0.0129,0.0000,0.0000,0.0000,0.0003,0.0056,12,clinical_rescue_24,0.0086,0.0030,0.0019
random_matched_24,24,polyT10,73,5,0.033,2,0.0323,0.0003,0.0000,0.0000,0.0008,0.0141,12,clinical_rescue_24,0.0181,0.0040,0.0045
random_matched_24,24,polyT10,73,10,0.064,3,0.0626,0.0018,0.0001,0.0000,0.0017,0.0277,12,clinical_rescue_24,0.0346,0.0069,0.0055
random_matched_24,24,polyT15,73,2,0.024,1,0.0244,0.0000,0.0000,0.0000,0.0006,0.0106,12,clinical_rescue_24,0.0232,0.0126,0.0030
random_matched_24,24,polyT15,73,5,0.062,3,0.0606,0.0012,0.0001,0.0000,0.0016,0.0267,12,clinical_rescue_24,0.0249,-0.0018,0.0072
random_matched_24,24,polyT15,73,10,0.117,4,0.1105,0.0061,0.0002,0.0000,0.0030,0.0500,12,clinical_rescue_24,0.0822,0.0322,0.0096
random_matched_24,24,polyT20,73,2,0.054,2,0.0531,0.0008,0.0000,0.0000,0.0013,0.0233,12,clinical_rescue_24,0.0411,0.0178,0.0032
random_matched_24,24,polyT20,73,5,0.124,3,0.1188,0.0050,0.0002,0.0000,0.0032,0.0532,12,clinical_rescue_24,0.0753,0.0221,0.0106
random_matched_24,24,polyT20,73,10,0.253,5,0.2263,0.0243,0.0019,0.0000,0.0072,0.1066,12,clinical_rescue_24,0.1506,0.0440,0.0119
random_matched_24,24,polyT30,73,2,0.112,2,0.1088,0.0031,0.0000,0.0000,0.0028,0.0482,12,clinical_rescue_24,0.0633,0.0151,0.0117
random_matched_24,24,polyT30,73,5,0.257,4,0.2276,0.0271,0.0018,0.0000,0.0072,0.1081,12,clinical_rescue_24,0.1479,0.0398,0.0170
random_matched_24,24,polyT30,73,10,0.497,6,0.3939,0.0907,0.0115,0.0000,0.0176,0.2037,12,clinical_rescue_24,0.2750,0.0713,0.0242
random_matched_24,24,polyT10,73,2,0.011,2,0.0112,0.0000,0.0000,0.0000,0.0003,0.0048,12,dense_24,0.0102,0.0054,0.0015
random_matched_24,24,polyT10,73,5,0.029,3,0.0286,0.0002,0.0000,0.0000,0.0007,0.0124,12,dense_24,0.0338,0.0214,0.0034
random_matched_24,24,polyT10,73,10,0.064,3,0.0628,0.0017,0.0000,0.0000,0.0016,0.0278,12,dense_24,0.0418,0.0140,0.0056
random_matched_24,24,polyT15,73,2,0.027,2,0.0272,0.0001,0.0000,0.0000,0.0007,0.0118,12,dense_24,0.0307,0.0189,0.0042
random_matched_24,24,polyT15,73,5,0.059,3,0.0573,0.0013,0.0001,0.0000,0.0015,0.0253,12,dense_24,0.0365,0.0112,0.0076
random_matched_24,24,polyT15,73,10,0.122,4,0.1158,0.0057,0.0002,0.0000,0.0031,0.0521,12,dense_24,0.0879,0.0358,0.0082
random_matched_24,24,polyT20,73,2,0.057,2,0.0553,0.0013,0.0000,0.0000,0.0014,0.0244,12,dense_24,0.0325,0.0081,0.0053
random_matched_24,24,polyT20,73,5,0.126,4,0.1179,0.0080,0.0003,0.0000,0.0033,0.0538,12,dense_24,0.0870,0.0332,0.0121
random_matched_24,24,polyT20,73,10,0.243,4,0.2185,0.0225,0.0016,0.0000,0.0068,0.1026,12,dense_24,0.1802,0.0776,0.0143
random_matched_24,24,polyT30,73,2,0.120,2,0.1173,0.0022,0.0000,0.0000,0.0030,0.0516,12,dense_24,0.0656,0.0140,0.0062
random_matched_24,24,polyT30,73,5,0.281,4,0.2489,0.0295,0.0021,0.0000,0.0080,0.1182,12,dense_24,0.1615,0.0433,0.0085
random_matched_24,24,polyT30,73,10,0.568,6,0.4406,0.1101,0.0159,0.0000,0.0214,0.2314,12,dense_24,0.3203,0.0889,0.0141
random_matched_18,18,polyT10,73,2,0.006,1,0.0062,0.0000,0.0000,0.0000,0.0002,0.0027,12,grid_18,0.0011,-0.0016,0.0017
random_matched_18,18,polyT10,73,5,0.030,2,0.0297,0.0003,0.0000,0.0000,0.0007,0.0129,12,grid_18,0.0117,-0.0012,0.0030
random_matched_18,18,polyT10,73,10,0.047,2,0.0464,0.0007,0.0000,0.0000,0.0012,0.0203,12,grid_18,0.0211,0.0008,0.0046
random_matched_18,18,polyT15,73,2,0.018,2,0.0176,0.0000,0.0000,0.0000,0.0004,0.0076,12,grid_18,0.0113,0.0037,0.0031
random_matched_18,18,polyT15,73,5,0.055,2,0.0534,0.0015,0.0000,0.0000,0.0014,0.0236,12,grid_18,0.0312,0.0076,0.0069
random_matched_18,18,polyT15,73,10,0.102,3,0.0967,0.0049,0.0001,0.0000,0.0026,0.0436,12,grid_18,0.0442,0.0006,0.0082
random_matched_18,18,polyT20,73,2,0.033,2,0.0331,0.0002,0.0000,0.0000,0.0008,0.0144,12,grid_18,0.0347,0.0203,0.0037
random_matched_18,18,polyT20,73,5,0.099,3,0.0944,0.0045,0.0004,0.0000,0.0026,0.0425,12,grid_18,0.0554,0.0129,0.0110
random_matched_18,18,polyT20,73,10,0.180,4,0.1668,0.0122,0.0006,0.0000,0.0048,0.0765,12,grid_18,0.1080,0.0315,0.0151
random_matched_18,18,polyT30,73,2,0.085,2,0.0828,0.0017,0.0000,0.0000,0.0021,0.0364,12,grid_18,0.0601,0.0237,0.0061
random_matched_18,18,polyT30,73,5,0.211,4,0.1931,0.0170,0.0005,0.0000,0.0055,0.0894,12,grid_18,0.1234,0.0340,0.0107
random_matched_18,18,polyT30,73,10,0.431,5,0.3611,0.0616,0.0073,0.0000,0.0141,0.1787,12,grid_18,0.2315,0.0528,0.0217
random_matched_12,12,polyT10,73,2,0.006,1,0.0065,0.0000,0.0000,0.0000,0.0002,0.0028,12,ring_12,0.0011,-0.0017,0.0016
random_matched_12,12,polyT10,73,5,0.017,1,0.0173,0.0000,0.0000,0.0000,0.0004,0.0075,12,ring_12,0.0119,0.0044,0.0023
random_matched_12,12,polyT10,73,10,0.026,2,0.0257,0.0004,0.0000,0.0000,0.0007,0.0113,12,ring_12,0.0153,0.0040,0.0034
random_matched_12,12,polyT15,73,2,0.015,2,0.0146,0.0001,0.0000,0.0000,0.0004,0.0063,12,ring_12,0.0075,0.0012,0.0029
random_matched_12,12,polyT15,73,5,0.033,2,0.0324,0.0003,0.0000,0.0000,0.0008,0.0141,12,ring_12,0.0163,0.0022,0.0044
random_matched_12,12,polyT15,73,10,0.069,3,0.0671,0.0021,0.0000,0.0000,0.0017,0.0298,12,ring_12,0.0492,0.0194,0.0057
random_matched_12,12,polyT20,73,2,0.028,2,0.0284,0.0001,0.0000,0.0000,0.0007,0.0123,12,ring_12,0.0216,0.0093,0.0045
random_matched_12,12,polyT20,73,5,0.072,3,0.0704,0.0019,0.0000,0.0000,0.0018,0.0311,12,ring_12,0.0442,0.0131,0.0078
random_matched_12,12,polyT20,73,10,0.146,4,0.1372,0.0085,0.0002,0.0000,0.0037,0.0623,12,ring_12,0.0813,0.0190,0.0125
random_matched_12,12,polyT30,73,2,0.054,2,0.0530,0.0009,0.0000,0.0000,0.0013,0.0233,12,ring_12,0.0403,0.0170,0.0066
random_matched_12,12,polyT30,73,5,0.145,3,0.1365,0.0082,0.0002,0.0000,0.0037,0.0619,12,ring_12,0.0778,0.0159,0.0176
random_matched_12,12,polyT30,73,10,0.277,5,0.2442,0.0294,0.0027,0.0000,0.0081,0.1162,12,ring_12,0.1676,0.0514,0.0256
random_matched_6,6,polyT10,73,2,0.003,1,0.0033,0.0000,0.0000,0.0000,0.0001,0.0015,12,sparse_6,0.0022,0.0007,0.0018
random_matched_6,6,polyT10,73,5,0.011,1,0.0113,0.0000,0.0000,0.0000,0.0003,0.0049,12,sparse_6,0.0036,-0.0013,0.0029
random_matched_6,6,polyT10,73,10,0.014,1,0.0140,0.0000,0.0000,0.0000,0.0004,0.0061,12,sparse_6,0.0113,0.0052,0.0029
random_matched_6,6,polyT15,73,2,0.005,1,0.0053,0.0000,0.0000,0.0000,0.0001,0.0023,12,sparse_6,0.0030,0.0007,0.0019
random_matched_6,6,polyT15,73,5,0.016,2,0.0156,0.0000,0.0000,0.0000,0.0004,0.0067,12,sparse_6,0.0116,0.0049,0.0021
random_matched_6,6,polyT15,73,10,0.034,2,0.0336,0.0006,0.0000,0.0000,0.0009,0.0147,12,sparse_6,0.0152,0.0005,0.0048
random_matched_6,6,polyT20,73,2,0.016,2,0.0155,0.0001,0.0000,0.0000,0.0004,0.0067,12,sparse_6,0.0094,0.0027,0.0024
random_matched_6,6,polyT20,73,5,0.038,2,0.0371,0.0005,0.0000,0.0000,0.0009,0.0163,12,sparse_6,0.0254,0.0091,0.0050
random_matched_6,6,polyT20,73,10,0.072,3,0.0702,0.0014,0.0001,0.0000,0.0018,0.0309,12,sparse_6,0.0380,0.0071,0.0080
random_matched_6,6,polyT30,73,2,0.030,2,0.0298,0.0001,0.0000,0.0000,0.0007,0.0129,12,sparse_6,0.0207,0.0078,0.0034
random_matched_6,6,polyT30,73,5,0.082,2,0.0797,0.0020,0.0000,0.0000,0.0020,0.0352,12,sparse_6,0.0431,0.0079,0.0083
random_matched_6,6,polyT30,73,10,0.162,3,0.1539,0.0079,0.0001,0.0000,0.0041,0.0694,12,sparse_6,0.0824,0.0130,0.0110
