layout,aptamer_count,linker_construct,ev_diameter_nm,cd133_density,receptor_count,mean_contacts,max_contacts,p_at_least_3_contacts,p_at_least_6_contacts,capture_score
ring_12,12,polyT30,150,medium,141,2.080,11,0.3418,0.0061,0.2080
ring_12,12,polyT30,150,high,283,3.434,12,0.7461,0.0730,0.4472
sparse_6,6,polyT15,50,low,6,0.040,2,0.0000,0.0000,0.0010
sparse_6,6,polyT15,50,medium,16,0.114,2,0.0000,0.0000,0.0028
sparse_6,6,polyT15,50,high,31,0.216,2,0.0000,0.0000,0.0054
sparse_6,6,polyT15,100,low,24,0.084,2,0.0000,0.0000,0.0021
sparse_6,6,polyT15,100,medium,63,0.201,3,0.0000,0.0000,0.0050
sparse_6,6,polyT15,100,high,126,0.370,3,0.0001,0.0000,0.0093
sparse_6,6,polyT15,150,low,53,0.101,3,0.0000,0.0000,0.0025
sparse_6,6,polyT15,150,medium,141,0.272,4,0.0005,0.0000,0.0070
sparse_6,6,polyT15,150,high,283,0.518,5,0.0025,0.0000,0.0141
sparse_6,6,polyT20,50,low,6,0.094,2,0.0000,0.0000,0.0023
sparse_6,6,polyT20,50,medium,16,0.224,2,0.0000,0.0000,0.0056
sparse_6,6,polyT20,50,high,31,0.409,2,0.0000,0.0000,0.0102
sparse_6,6,polyT20,100,low,24,0.150,2,0.0000,0.0000,0.0037
sparse_6,6,polyT20,100,medium,63,0.398,3,0.0005,0.0000,0.0102
sparse_6,6,polyT20,100,high,126,0.695,3,0.0024,0.0000,0.0185
sparse_6,6,polyT20,150,low,53,0.207,3,0.0002,0.0000,0.0053
sparse_6,6,polyT20,150,medium,141,0.531,5,0.0049,0.0000,0.0155
sparse_6,6,polyT20,150,high,283,0.951,6,0.0248,0.0000,0.0349
sparse_6,6,polyT30,50,low,6,0.194,3,0.0000,0.0000,0.0049
sparse_6,6,polyT30,50,medium,16,0.489,3,0.0002,0.0000,0.0123
sparse_6,6,polyT30,50,high,31,0.786,3,0.0005,0.0000,0.0199
sparse_6,6,polyT30,100,low,24,0.331,3,0.0008,0.0000,0.0086
sparse_6,6,polyT30,100,medium,63,0.795,6,0.0119,0.0000,0.0252
sparse_6,6,polyT30,100,high,126,1.354,6,0.0609,0.0000,0.0612
sparse_6,6,polyT30,150,low,53,0.466,5,0.0043,0.0000,0.0136
sparse_6,6,polyT30,150,medium,141,1.108,6,0.0541,0.0000,0.0521
sparse_6,6,polyT30,150,high,283,1.832,6,0.2243,0.0006,0.1469
